"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.florianpoupin.com/","text/html; charset=UTF-8","200","OK","Indexable","","Florian Poupin | AYNI","21","187","FLORIAN POUPIN : ENTREZ DANS UN UNIVERS HORS DU COMMUN

| Enseignant d'équitation diplômé - cours & stages
| Artiste de spectacle & de cinéma / Conceptions artistiques
| AYNI Productions
| AYNI - soins & accompagnements","219","1452","","0","FLORIAN POUPIN","14","","0","","0","","","","https://www.florianpoupin.com/","","","","","","840801","188293","188293","72.131","","24","9","2.667","66.653","Normal","0.076","0","0","","44","28","0","100.000","25","18","0","11","7","0","","","","","4d4f53f29b2492620305576c7218a9a","1.476","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/","2026-03-14 11:00:49"
"https://www.florianpoupin.com/accompagnements","text/html; charset=UTF-8","200","OK","Indexable","","Accompagnements - AYNI | Florian Poupin","39","376","Seul ou en groupe, vous serez guidé dans votre démarche de vie, et de création.  Comprendre, débloquer, avancer et créer; sont les maitres mots de ses accompagnements.","167","1057","","0","Accompagnements","15","Réservez dès maintenant","23","","0","","","","https://www.florianpoupin.com/accompagnements","","","","","","843815","194101","194101","74.356","","126","22","5.727","70.093","Fairly Easy","0.160","1","0","","29","28","0","100.000","21","17","0","9","6","0","","","","","897d1d7ee0eb71b028fe49d857d19287","0.410","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/accompagnements","2026-03-14 11:00:52"
"https://www.florianpoupin.com/politique-de-cookies","text/html; charset=UTF-8","200","OK","Indexable","","Politique de cookies - AYNI | Florian Poupin","44","379","","0","0","","0","Politique de confidentialité des données","40","1. Qu'est-ce que la confidentialité des données ?","49","2. Comment utilisons-nous vos données ?","39","","","","https://www.florianpoupin.com/politique-de-cookies","","","","","","814197","184786","184786","70.788","","222","36","6.167","59.957","Fairly Hard","0.236","1","0","","28","28","0","100.000","19","17","0","9","6","0","","","","","659bee597979557dcd4d12d03f5bd7f2","0.455","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/politique-de-cookies","2026-03-14 11:00:52"
"https://www.florianpoupin.com/mentions-légales","text/html; charset=UTF-8","200","OK","Indexable","","Mentions légales - AYNI | Florian Poupin","40","352","","0","0","","0","Mentions légales","16","","0","","0","","","","https://www.florianpoupin.com/mentions-légales","","","","","","814262","185058","185058","70.892","","301","57","5.281","61.506","Normal","0.305","1","0","","28","28","0","100.000","19","17","0","9","6","0","","","","","b7d879f6f49c31b61fbccda39d81527a","1.288","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/mentions-l%C3%A9gales","2026-03-14 11:00:52"
"https://www.florianpoupin.com/soins-therapies","text/html; charset=UTF-8","200","OK","Indexable","","Soins & Thérapies -  AYNI | Florian Poupin","42","361","Des soins et des thérapies uniques créés pour vous. 
Chaque séance est différente selon les besoins et le ressenti.
En accord complet avec votre corps, votre cœur et votre âme.

Une écoute profonde pour rééquilibrer et libérer.

​","230","1390","","0","Soins & Thérapies","17","Réservez votre séance dès maintenant","36","","0","","","","https://www.florianpoupin.com/soins-therapies","","","","","","854528","195417","195417","74.861","","232","40","5.800","82.800","Easy","0.222","1","0","","29","28","0","100.000","22","18","0","9","6","0","","","","","c3dbbb13ec2c98f5f3c682355c3a556e","1.990","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/soins-therapies","2026-03-14 11:00:52"
"https://www.florianpoupin.com/equestre","text/html; charset=UTF-8","200","OK","Indexable","","Enseignement & Accompagnement Equestre | Florian Poupin","55","539","L'ELEGANCE DES ARTS EQUESTRE A LA FRANCAISE |
Cours & Stages -
Académie Equestre - 
Accompagnement soins & bien-être pour le cheval et le cavalier","146","967","","0","","0","À Propos","8","Son Approche","12","","","","https://www.florianpoupin.com/equestre","","","","","","1098180","223394","223394","85.578","","1543","233","6.622","70.006","Fairly Easy","0.954","1","0","","2","1","0","3.570","40","19","0","13","9","0","","","","","2b3b1a01732468241650835ca78719bd","1.490","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/equestre","2026-03-14 11:00:52"
"https://www.florianpoupin.com/accueilayni","text/html; charset=UTF-8","200","OK","Indexable","","AYNI | Florian Poupin","21","187","Soins - Thérapies - Accompagnements - Conférences - Créations Audiovisuelles","76","495","","0","","0","Pourquoi choisir AYNI ?","23","Soins & Thérapies","17","","","","https://www.florianpoupin.com/accueilayni","","","","","","938038","204864","204864","78.480","","421","68","6.191","72.546","Fairly Easy","0.336","1","0","","86","28","0","100.000","31","18","0","9","6","0","","","","","46d530aa85eaa7e5d19bab1003610f1c","1.546","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/accueilayni","2026-03-14 11:00:53"
"https://www.florianpoupin.com/politique-de-confidentialité","text/html; charset=UTF-8","200","OK","Indexable","","Politique de confidentialité - AYNI | Florian Poupin","52","437","","0","0","","0","Politique de confidentialité","28","","0","","0","","","","https://www.florianpoupin.com/politique-de-confidentialité","","","","","","814571","184838","184838","70.808","","165","24","6.875","64.497","Normal","0.193","1","0","","28","28","0","100.000","19","17","0","10","7","0","","","","","de71d18b1a4d9c5b0228bd4965786a13","1.324","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/politique-de-confidentialit%C3%A9","2026-03-14 11:00:53"
"https://www.florianpoupin.com/celebrations","text/html; charset=UTF-8","200","OK","Indexable","","Célébrations - AYNI | Florian Poupin","36","313","Venez honorer la vie pour un instant hors du temps.

Avec des thèmes différents en reliance avec soi-même et les autres

dans un cercle d'amour.

​

Trouvez ici l'éclat du cœur dans sa singulière vulnérabilité et dans la grandeur de sa beauté.","243","1461","","0","Célébrations","12","Réservez votre célébration dès maintenant","41","","0","","","","https://www.florianpoupin.com/celebrations","","","","","","863158","195274","195274","74.806","","102","22","4.636","71.082","Fairly Easy","0.136","1","0","","29","28","0","100.000","28","23","0","10","7","0","","","","","c8c3dbb92fa5ec7392d705f2853f70a1","1.341","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/celebrations","2026-03-14 11:00:55"
"https://www.florianpoupin.com/contact","text/html; charset=UTF-8","200","OK","Indexable","","Contact - AYNI | Florian Poupin","31","272","","0","0","","0","","0","Adresse","7","Contact","7","","","","https://www.florianpoupin.com/contact","","","","","","826422","185804","185804","71.178","","59","17","3.471","90.034","Very Easy","0.103","1","0","","42","28","0","100.000","19","17","0","13","7","0","","","","","56f97d433ea8415dd463c75028d26db1","1.517","","","","","fr","1.1","","","","","","https://www.florianpoupin.com/contact","2026-03-14 11:00:54"
